YearsExperience,EducationLevel,Age,JobRole,Location,Certifications,PreviousCompanies,PerformanceRating,TechStack,Department,WorkingHours,LeavesTaken,Gender,EmploymentType,RemoteWork,Salary
6,5,42,Engineer,Pune,5,0,5,SQL,IT,51,26,Female,PartTime,1,35900.0
19,5,41,Analyst,Mumbai,2,1,1,Python,Operations,55,3,Male,FullTime,0,55300.0
28,3,44,Manager,Pune,1,3,1,JavaScript,HR,49,16,Male,PartTime,1,73400.0
14,3,37,Engineer,Pune,2,4,2,C++,Finance,53,21,Other,FullTime,1,54000.0
10,1,31,Director,Hyderabad,5,2,2,SQL,Finance,58,10,Other,Contract,0,51700.0
7,3,38,Director,Mumbai,5,1,5,C++,HR,40,14,Other,FullTime,0,25100.0
28,2,55,Intern,Hyderabad,1,4,3,SQL,HR,57,5,Female,Contract,1,69500.0
20,3,51,Director,Delhi,4,4,2,Java,HR,36,22,Female,PartTime,1,65200.0
6,5,48,Manager,Mumbai,0,5,4,Python,Finance,55,9,Male,PartTime,0,54100.0
25,1,44,Manager,Pune,5,2,1,SQL,IT,48,21,Other,FullTime,0,64600.0
18,4,56,Intern,Chennai,0,0,5,JavaScript,IT,44,5,Female,FullTime,1,72700.0
22,4,44,Analyst,Pune,0,3,2,JavaScript,IT,41,15,Other,FullTime,1,58000.0
10,1,53,Consultant,Chennai,5,2,5,Python,Operations,50,12,Male,Contract,0,26400.0
10,2,50,Consultant,Bangalore,5,4,3,JavaScript,Admin,50,29,Male,FullTime,0,24800.0
23,4,57,Intern,Mumbai,3,0,1,C++,Finance,37,14,Female,FullTime,1,74700.0
20,5,33,Manager,Hyderabad,0,4,1,C++,Finance,37,25,Female,PartTime,1,64700.0
3,4,36,Intern,Delhi,3,1,2,C++,Admin,46,1,Other,PartTime,0,20200.0
7,4,63,Engineer,Chennai,2,1,4,C++,IT,39,24,Female,Contract,0,69000.0
23,5,29,Lead,Bangalore,1,0,3,C++,Finance,46,29,Female,PartTime,0,68300.0
2,3,33,Director,Hyderabad,3,4,3,JavaScript,Admin,54,0,Other,PartTime,1,24000.0
21,2,27,Intern,Chennai,2,3,5,SQL,Finance,42,26,Female,FullTime,1,80400.0
20,5,55,Analyst,Mumbai,4,1,3,SQL,Operations,41,14,Other,Contract,0,57900.0
1,5,64,Analyst,Bangalore,1,3,1,C++,HR,50,10,Male,FullTime,1,28000.0
23,1,46,Director,Bangalore,3,3,2,Java,IT,39,30,Female,FullTime,0,55200.0
11,2,29,Consultant,Hyderabad,2,5,4,SQL,HR,45,2,Female,FullTime,0,44100.0
29,3,55,Consultant,Bangalore,4,3,4,SQL,Operations,52,16,Female,PartTime,1,75200.0
5,5,44,Director,Chennai,1,0,5,C++,Operations,54,23,Male,PartTime,1,46900.0
1,3,53,Engineer,Hyderabad,3,5,1,JavaScript,Finance,50,12,Female,FullTime,0,19700.0
27,5,41,Analyst,Chennai,1,4,3,Python,Admin,40,13,Male,FullTime,0,89700.0
20,5,42,Intern,Chennai,5,0,4,C++,IT,41,23,Female,PartTime,0,52400.0
0,1,59,Director,Pune,1,2,4,Python,Operations,47,1,Male,PartTime,0,9700.0
11,4,39,Intern,Mumbai,5,1,4,C++,HR,44,10,Male,PartTime,1,47400.0
25,2,64,Manager,Bangalore,5,3,3,C++,IT,48,29,Other,FullTime,1,75200.0
21,1,52,Analyst,Mumbai,4,4,5,Python,Finance,53,29,Female,PartTime,1,49800.0
28,3,25,Manager,Pune,3,3,2,SQL,Admin,55,4,Male,Contract,1,70600.0
11,5,32,Director,Delhi,4,0,4,JavaScript,HR,42,3,Other,Contract,1,45800.0
24,5,60,Engineer,Delhi,4,4,3,Java,Finance,39,4,Female,Contract,0,72900.0
16,2,26,Analyst,Mumbai,1,2,5,Java,IT,55,17,Male,FullTime,0,49400.0
26,1,38,Analyst,Delhi,5,0,2,Java,HR,52,8,Other,FullTime,0,65200.0
26,1,27,Consultant,Delhi,0,4,2,Java,HR,57,20,Male,Contract,1,59300.0
30,3,39,Intern,Pune,5,5,2,SQL,Finance,55,17,Female,PartTime,0,68400.0
9,1,35,Director,Mumbai,0,1,2,Java,Admin,37,1,Male,Contract,1,28400.0
27,1,62,Manager,Pune,4,0,4,SQL,HR,58,21,Female,Contract,0,71500.0
27,4,29,Intern,Mumbai,3,4,1,Java,Finance,47,19,Other,PartTime,0,84400.0
15,2,40,Lead,Mumbai,1,4,4,C++,Operations,48,2,Male,Contract,1,47700.0
14,1,40,Intern,Delhi,5,2,1,Python,HR,46,16,Female,Contract,1,34800.0
29,3,24,Consultant,Bangalore,4,4,2,Python,Finance,56,2,Other,FullTime,1,77500.0
29,5,30,Director,Pune,3,4,1,Java,IT,53,11,Other,Contract,1,88700.0
14,1,62,Intern,Chennai,0,3,1,SQL,Finance,50,4,Female,FullTime,1,26800.0
29,1,60,Manager,Chennai,4,2,5,JavaScript,IT,46,17,Male,PartTime,0,82500.0
18,5,21,Intern,Bangalore,2,5,5,Java,HR,53,20,Female,Contract,0,42600.0
11,4,55,Manager,Mumbai,4,0,3,C++,Admin,36,30,Female,FullTime,0,44800.0
22,2,44,Intern,Hyderabad,3,2,3,Java,IT,53,1,Other,PartTime,1,70600.0
19,4,64,Lead,Hyderabad,3,2,5,SQL,IT,50,21,Female,FullTime,0,72000.0
24,3,27,Analyst,Mumbai,4,1,3,SQL,Operations,35,12,Other,Contract,0,68600.0
2,1,42,Consultant,Chennai,2,4,1,SQL,Operations,42,21,Female,PartTime,1,-0.0
4,4,43,Engineer,Hyderabad,5,3,4,C++,IT,37,13,Female,FullTime,1,45900.0
18,2,21,Lead,Bangalore,5,5,5,C++,HR,49,26,Female,FullTime,1,39000.0
6,3,44,Director,Hyderabad,0,4,2,Java,Admin,56,20,Male,Contract,1,40300.0
20,4,40,Consultant,Bangalore,2,0,5,Java,Finance,37,2,Other,Contract,1,75700.0
8,1,52,Manager,Hyderabad,5,1,4,SQL,IT,46,14,Female,PartTime,1,900.0
6,2,51,Intern,Chennai,2,4,1,Python,Admin,50,0,Female,Contract,1,25200.0
17,1,53,Lead,Mumbai,3,2,3,Python,Finance,59,25,Male,FullTime,0,42700.0
3,1,56,Manager,Pune,4,5,4,Java,HR,39,15,Male,FullTime,1,2100.0
24,3,38,Analyst,Hyderabad,2,4,4,Java,HR,37,26,Other,PartTime,0,67000.0
27,2,57,Intern,Pune,4,4,4,JavaScript,HR,48,27,Male,FullTime,0,63000.0
13,5,53,Manager,Hyderabad,5,2,5,Java,Operations,44,14,Other,Contract,0,63100.0
17,1,53,Engineer,Pune,2,0,4,Python,HR,36,25,Other,FullTime,0,41100.0
25,2,25,Consultant,Pune,1,4,2,C++,Admin,47,0,Other,Contract,1,76400.0
8,1,38,Intern,Pune,3,3,3,SQL,HR,52,26,Other,FullTime,0,23400.0
25,4,29,Consultant,Mumbai,2,5,2,SQL,Admin,45,27,Male,FullTime,0,62000.0
20,4,62,Director,Bangalore,1,0,3,SQL,Operations,57,24,Female,FullTime,1,71600.0
1,2,51,Analyst,Pune,3,2,4,Java,HR,58,13,Male,Contract,0,23300.0
19,3,27,Manager,Hyderabad,5,4,5,Java,Finance,36,27,Other,PartTime,0,40500.0
27,5,35,Consultant,Delhi,3,3,2,JavaScript,HR,39,4,Male,FullTime,0,71900.0
14,4,24,Engineer,Bangalore,4,1,2,Java,HR,59,10,Female,Contract,0,43600.0
27,3,59,Engineer,Bangalore,5,2,2,JavaScript,IT,49,20,Other,Contract,0,69400.0
6,5,28,Director,Bangalore,2,3,4,SQL,Operations,47,3,Other,Contract,1,35000.0
11,4,44,Analyst,Pune,4,0,5,C++,HR,49,30,Male,Contract,1,51000.0
28,5,28,Director,Pune,2,3,1,SQL,Finance,37,16,Male,FullTime,0,68100.0
7,1,25,Director,Delhi,1,3,5,Python,HR,48,25,Male,PartTime,0,15300.0
14,2,43,Engineer,Delhi,2,3,1,JavaScript,Admin,39,23,Other,FullTime,1,28300.0
2,4,63,Consultant,Chennai,1,5,1,Python,Admin,53,30,Male,Contract,0,26400.0
13,4,54,Lead,Chennai,2,5,3,JavaScript,Admin,46,2,Other,FullTime,1,52600.0
16,1,35,Manager,Chennai,1,1,3,JavaScript,Finance,56,5,Male,FullTime,0,39600.0
3,4,39,Consultant,Mumbai,4,1,5,C++,HR,35,16,Male,PartTime,0,30700.0
17,4,45,Analyst,Pune,2,0,1,Java,Operations,45,11,Female,Contract,1,65500.0
7,4,59,Lead,Delhi,4,3,1,C++,Operations,50,8,Male,FullTime,1,50900.0
3,4,24,Director,Mumbai,5,2,3,Python,IT,51,4,Male,PartTime,0,11900.0
1,4,28,Analyst,Mumbai,3,4,1,JavaScript,HR,47,12,Female,Contract,1,47300.0
29,3,49,Consultant,Delhi,0,5,1,Python,Operations,45,12,Other,PartTime,1,69500.0
5,4,62,Director,Delhi,2,0,1,SQL,Operations,51,9,Female,Contract,1,40100.0
21,1,33,Consultant,Chennai,1,0,1,C++,HR,49,19,Male,Contract,0,36600.0
9,4,58,Intern,Hyderabad,4,3,5,Python,Operations,58,25,Female,PartTime,0,44900.0
3,5,56,Analyst,Pune,1,4,5,Python,Operations,57,11,Male,Contract,0,48000.0
21,5,57,Analyst,Mumbai,4,3,2,Java,Admin,40,4,Other,PartTime,0,75900.0
28,1,62,Manager,Delhi,0,4,4,Java,Finance,46,27,Other,PartTime,1,67000.0
30,3,63,Engineer,Delhi,5,3,4,Java,HR,42,13,Female,PartTime,0,81500.0
17,1,51,Manager,Pune,3,2,2,JavaScript,Finance,52,28,Other,FullTime,0,34500.0
25,3,39,Consultant,Chennai,0,1,3,C++,HR,51,13,Male,Contract,1,84800.0
11,2,57,Consultant,Chennai,1,0,5,SQL,Finance,55,6,Female,Contract,0,46300.0
1,5,45,Manager,Mumbai,2,3,5,SQL,Admin,53,18,Male,FullTime,1,39900.0
9,5,57,Lead,Hyderabad,5,1,1,SQL,HR,57,27,Other,PartTime,1,54100.0
29,5,21,Manager,Hyderabad,5,3,5,Java,Admin,50,7,Other,PartTime,0,68800.0
3,3,41,Analyst,Bangalore,3,0,4,Python,IT,52,22,Female,PartTime,1,25200.0
13,1,61,Director,Bangalore,4,1,3,Python,Finance,59,23,Female,Contract,0,46900.0
30,3,59,Lead,Chennai,3,4,4,JavaScript,IT,39,18,Female,PartTime,0,77600.0
15,5,61,Analyst,Pune,2,1,1,Java,Admin,48,30,Female,PartTime,1,68100.0
14,5,46,Intern,Pune,2,3,5,JavaScript,HR,56,0,Male,FullTime,1,47700.0
7,5,62,Consultant,Mumbai,1,0,5,Java,HR,45,4,Other,PartTime,1,43600.0
13,5,23,Director,Bangalore,0,5,5,JavaScript,Operations,54,8,Other,Contract,1,65500.0
22,2,61,Director,Mumbai,4,2,3,Python,Admin,46,16,Other,Contract,0,54000.0
27,5,25,Lead,Hyderabad,3,0,5,Java,Admin,53,21,Male,PartTime,1,88000.0
24,3,63,Manager,Chennai,2,1,5,JavaScript,Operations,46,30,Other,PartTime,0,70500.0
29,5,49,Lead,Mumbai,5,5,2,Python,IT,52,24,Other,PartTime,1,88600.0
7,4,53,Lead,Pune,0,0,2,SQL,Admin,58,29,Female,Contract,0,27400.0
20,2,22,Intern,Hyderabad,1,0,2,Python,Admin,46,7,Other,FullTime,1,47000.0
15,5,38,Lead,Hyderabad,1,2,4,Python,Admin,46,16,Male,Contract,1,70100.0
12,4,34,Intern,Mumbai,5,1,5,Java,Operations,35,9,Male,Contract,1,42700.0
17,3,60,Director,Mumbai,4,0,1,Java,Finance,39,11,Other,FullTime,1,46000.0
14,2,50,Manager,Bangalore,0,3,4,Python,Admin,47,6,Other,FullTime,0,24400.0
20,5,49,Intern,Bangalore,1,0,4,Java,Finance,43,19,Female,PartTime,1,81500.0
